time_period,location,disease_cases,population,t2m_mean_c_month,tp_sum_mm_month
2001-10,VNM_ADM1_0039,102.0,1485596.4410924015,26.274425668447407,10.606126169605488
2001-11,VNM_ADM1_0039,32.0,1485596.4410924015,25.784222269634213,1.6810274404127512
2001-12,VNM_ADM1_0039,8.0,1485596.4410924015,26.615976489496685,0.8382499346759242
2002-01,VNM_ADM1_0039,5.0,1485596.4410924015,26.610934129147736,0.0251078782220055
2002-02,VNM_ADM1_0039,5.0,1485596.4410924015,27.32313997305328,0.0274013669618951
2002-03,VNM_ADM1_0039,12.0,1485596.4410924015,28.80392451645577,0.1406761517088845
2002-04,VNM_ADM1_0039,11.0,1485596.4410924015,29.915361951598783,1.0850308464167615
2002-05,VNM_ADM1_0039,21.0,1485596.4410924015,29.693423698602476,3.047491623959309
2002-06,VNM_ADM1_0039,20.0,1485596.4410924015,27.513428718828035,7.907702587101689
2002-07,VNM_ADM1_0039,82.0,1485596.4410924015,28.01513298713667,4.017494935956085
2002-08,VNM_ADM1_0039,99.0,1485596.4410924015,26.70944942453176,8.33885225480004
2002-09,VNM_ADM1_0039,123.0,1485596.4410924015,26.551502721651552,9.574528306325869
2002-10,VNM_ADM1_0039,163.0,1485596.4410924015,26.626073727643288,7.761878970421766
2002-11,VNM_ADM1_0039,99.0,1485596.4410924015,26.220113170100102,5.398052308427884
2002-12,VNM_ADM1_0039,66.0,1485596.4410924015,26.571245167677336,2.139793279670429
2003-01,VNM_ADM1_0039,58.0,1485596.4410924015,25.964004042429888,0.0266761376948389
2003-02,VNM_ADM1_0039,27.0,1485596.4410924015,27.601296372526217,0.0562090213297989
2003-03,VNM_ADM1_0039,22.0,1485596.4410924015,29.015063050935765,0.3777151916474686
2003-04,VNM_ADM1_0039,30.0,1485596.4410924015,30.218391966503653,0.7578466983890572
2003-05,VNM_ADM1_0039,45.0,1485596.4410924015,27.59084751844239,8.794730352032506
2003-06,VNM_ADM1_0039,87.0,1485596.4410924015,27.255709502355927,6.3425365359889
